id_left,id_right,Sz,Sp,Sm
1 	 14 	 (0.000000000000070,0.000000000000082) 	 (-0.000000000000000,0.000000000000000) 	 (0.178217739985176,-0.099524388072686)
1 	 15 	 (-0.000000000000015,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000002617,0.000000000000019)
1 	 16 	 (-0.000000000000015,-0.000000000000000) 	 (-0.000000000000000,-0.000000000000000) 	 (0.000000000002617,-0.000000000000019)
1 	 17 	 (-0.000000000000260,0.000000000000000) 	 (-0.482404531833319,0.000000000000000) 	 (-0.000000000000016,0.000000000000000)
1 	 18 	 (-0.241202265916660,0.000000000000000) 	 (0.000000000000540,0.000000000000000) 	 (0.000000000000352,0.000000000000000)
1 	 19 	 (-0.000000000000041,0.000000000001014) 	 (-0.000000000000006,0.000000000000181) 	 (-0.066392235422117,0.098686171175164)
1 	 20 	 (-0.000000000000041,-0.000000000001014) 	 (-0.000000000000006,-0.000000000000181) 	 (-0.066392235422117,-0.098686171175164)
1 	 21 	 (-0.000000000000603,0.000000000000000) 	 (-0.000000000000224,0.000000000000000) 	 (0.196940825432973,0.000000000000000)
1 	 22 	 (-0.000000000000039,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000001760,0.000000000000000)
1 	 23 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 24 	 (-0.000000000000006,-0.000000000000027) 	 (0.190055317743713,0.117809066702595) 	 (-0.000000000000012,-0.000000000000073)
1 	 25 	 (-0.000000000000006,0.000000000000027) 	 (0.190055317743713,-0.117809066702595) 	 (-0.000000000000012,0.000000000000073)
1 	 26 	 (0.001936978260928,0.111786618676909) 	 (-0.000000000000104,0.000000000000032) 	 (-0.000000000000059,0.000000000000007)
1 	 27 	 (0.001936978260928,-0.111786618676909) 	 (-0.000000000000104,-0.000000000000032) 	 (-0.000000000000059,-0.000000000000007)
1 	 28 	 (0.000000000000000,0.000000000000039) 	 (-0.000000000000115,0.000000000000402) 	 (-0.091282405937749,0.000925040296039)
1 	 29 	 (0.000000000000000,-0.000000000000039) 	 (-0.000000000000115,-0.000000000000402) 	 (-0.091282405937749,-0.000925040296039)
1 	 30 	 (0.000000000000062,-0.000000000000003) 	 (-0.000000000000013,0.000000000000000) 	 (-0.000000000000936,0.000000000000035)
1 	 31 	 (0.000000000000062,0.000000000000003) 	 (-0.000000000000013,-0.000000000000000) 	 (-0.000000000000936,-0.000000000000035)
1 	 32 	 (0.000000000000002,-0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000023,-0.000000000000000)
1 	 33 	 (0.000000000000002,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000023,0.000000000000000)
1 	 34 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 35 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
